"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"1","1","453.l.82957.t.6","Cameron with the good fur","453.p.6752","Rantanen","Mikko","8.2","1.0","$43.5","100%"
"2","1","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.5980","MacKinnon","Nathan","2.4","1.0","$65.0","100%"
"3","1","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6743","McDavid","Connor","1.4","1.0","$77.5","100%"
"4","1","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7109","Matthews","Auston","4.1","1.0","$52.0","100%"
"5","1","453.l.82957.t.5","Micah's Majestic Team","453.p.5425","Kucherov","Nikita","4.8","1.0","$52.5","100%"
"6","1","453.l.82957.t.1","Bad Hab-Its","453.p.6369","Draisaitl","Leon","5.4","1.0","$56.0","100%"
"7","1","453.l.82957.t.9","Bardowny Woodpeckers","453.p.6391","Pastrnak","David","5.7","1.0","$54.5","100%"
"8","1","453.l.82957.t.7","Fighting Forsbergs","453.p.6728","Panarin","Artemi","12.4","1.4","$38.5","100%"
"9","1","453.l.82957.t.4","Bad habits","453.p.6374","Nylander","William","15.6","1.8","$37.5","100%"
"10","1","453.l.82957.t.12","Woonsocket Woozles","453.p.7519","Makar","Cale","9.0","1.1","$45.0","100%"
"11","1","453.l.82957.t.11","Jim Posac Fan Club","453.p.5691","Forsberg","Filip","20.9","2.2","$36.0","100%"
"12","1","453.l.82957.t.3","Hockey???","453.p.5376","Miller","J.T.","12.7","1.5","$42.0","100%"
"13","2","453.l.82957.t.3","Hockey???","453.p.7114","Tkachuk","Matthew","11.0","1.2","$49.0","100%"
"14","2","453.l.82957.t.11","Jim Posac Fan Club","453.p.7520","Pettersson","Elias","22.6","2.3","$33.5","100%"
"15","2","453.l.82957.t.12","Woonsocket Woozles","453.p.6877","Kaprizov","Kirill","14.0","1.7","$38.0","100%"
"16","2","453.l.82957.t.4","Bad habits","453.p.6746","Marner","Mitch","29.9","3.0","$28.5","100%"
"17","2","453.l.82957.t.7","Fighting Forsbergs","453.p.8279","Hughes","Jack","14.3","1.7","$41.0","100%"
"18","2","453.l.82957.t.9","Bardowny Woodpeckers","453.p.6486","Shesterkin","Igor","17.2","1.9","$35.0","100%"
"19","2","453.l.82957.t.1","Bad Hab-Its","453.p.4930","Josi","Roman","20.6","2.2","$36.0","100%"
"20","2","453.l.82957.t.5","Micah's Majestic Team","453.p.7902","Tkachuk","Brady","11.4","1.3","$47.0","100%"
"21","2","453.l.82957.t.2","San Jose Barra-Cuties","453.p.5096","Hyman","Zach","22.5","2.3","$29.5","100%"
"22","2","453.l.82957.t.8","Los Luchadores del Hielo","453.p.7905","Hughes","Quinn","17.4","2.0","$36.5","100%"
"23","2","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.6368","Reinhart","Sam","27.1","2.7","$23.0","100%"
"24","2","453.l.82957.t.6","Cameron with the good fur","453.p.6777","Aho","Sebastian","40.9","3.9","$18.5","100%"
"25","3","453.l.82957.t.6","Cameron with the good fur","453.p.6078","Saros","Juuse","27.1","2.8","$31.5","100%"
"26","3","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.7908","Bouchard","Evan","22.3","2.3","$28.5","100%"
"27","3","453.l.82957.t.8","Los Luchadores del Hielo","453.p.3737","Crosby","Sidney","25.1","2.5","$22.5","100%"
"28","3","453.l.82957.t.2","San Jose Barra-Cuties","453.p.4699","Kreider","Chris","40.3","3.8","$16.0","100%"
"29","3","453.l.82957.t.5","Micah's Majestic Team","453.p.6448","Point","Brayden","30.5","3.0","$21.0","100%"
"30","3","453.l.82957.t.1","Bad Hab-Its","453.p.5699","Vasilevskiy","Andrei","35.0","3.4","$22.5","100%"
"31","3","453.l.82957.t.9","Bardowny Woodpeckers","453.p.7626","Swayman","Jeremy","32.4","3.2","$17.0","100%"
"32","3","453.l.82957.t.7","Fighting Forsbergs","453.p.6057","Guentzel","Jake","37.0","3.5","$26.5","100%"
"33","3","453.l.82957.t.4","Bad habits","453.p.30544","Bedard","Connor","45.3","4.2","$17.0","100%"
"34","3","453.l.82957.t.12","Woonsocket Woozles","453.p.6744","Eichel","Jack","36.8","3.5","$19.5","100%"
"35","3","453.l.82957.t.11","Jim Posac Fan Club","453.p.5820","Hellebuyck","Connor","24.1","2.5","$30.5","100%"
"36","3","453.l.82957.t.3","Hockey???","453.p.6759","Connor","Kyle","40.6","3.8","$16.0","100%"
"37","4","453.l.82957.t.3","Hockey???","453.p.3637","Ovechkin","Alex","53.9","5.0","$11.0","100%"
"38","4","453.l.82957.t.11","Jim Posac Fan Club","453.p.7899","Dahlin","Rasmus","33.5","3.3","$24.5","100%"
"39","4","453.l.82957.t.12","Woonsocket Woozles","453.p.7554","Robertson","Jason","33.1","3.2","$27.5","100%"
"40","4","453.l.82957.t.4","Bad habits","453.p.4901","Bobrovsky","Sergei","40.3","3.8","$15.0","100%"
"41","4","453.l.82957.t.7","Fighting Forsbergs","453.p.7541","Oettinger","Jake","29.4","2.9","$28.0","100%"
"42","4","453.l.82957.t.9","Bardowny Woodpeckers","453.p.4682","Hedman","Victor","40.6","3.9","$17.0","100%"
"43","4","453.l.82957.t.1","Bad Hab-Its","453.p.7134","Thompson","Tage","47.7","4.4","$22.0","100%"
"44","4","453.l.82957.t.5","Micah's Majestic Team","453.p.4351","Marchand","Brad","72.9","6.5","$8.0","100%"
"45","4","453.l.82957.t.2","San Jose Barra-Cuties","453.p.6395","Kempe","Adrian","47.0","4.4","$15.0","100%"
"46","4","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6062","Verhaeghe","Carter","56.2","5.2","$11.5","100%"
"47","4","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.4471","Stamkos","Steven","40.1","3.8","$19.0","100%"
"48","4","453.l.82957.t.6","Cameron with the good fur","453.p.5981","Barkov","Aleksander","48.4","4.5","$16.0","100%"
"49","5","453.l.82957.t.6","Cameron with the good fur","453.p.7518","Heiskanen","Miro","61.0","5.6","$13.0","100%"
"50","5","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.7174","Fox","Adam","36.5","3.5","$21.5","100%"
"51","5","453.l.82957.t.8","Los Luchadores del Hielo","453.p.8898","Johnston","Wyatt","53.9","5.0","$17.0","100%"
"52","5","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7267","Bratt","Jesper","55.8","5.2","$17.0","100%"
"53","5","453.l.82957.t.5","Micah's Majestic Team","453.p.6765","Boeser","Brock","72.6","6.5","$9.0","100%"
"54","5","453.l.82957.t.1","Bad Hab-Its","453.p.7910","Dobson","Noah","56.9","5.2","$12.5","100%"
"55","5","453.l.82957.t.9","Bardowny Woodpeckers","453.p.8643","Stutzle","Tim","58.7","5.4","$17.5","100%"
"56","5","453.l.82957.t.7","Fighting Forsbergs","453.p.5992","Morrissey","Josh","49.5","4.6","$16.5","100%"
"57","5","453.l.82957.t.4","Bad habits","453.p.5685","Rielly","Morgan","80.2","7.2","$10.0","100%"
"58","5","453.l.82957.t.12","Woonsocket Woozles","453.p.5431","Trocheck","Vincent","59.8","5.4","$7.5","100%"
"59","5","453.l.82957.t.11","Jim Posac Fan Club","453.p.8293","Caufield","Cole","80.0","7.1","$16.0","100%"
"60","5","453.l.82957.t.3","Hockey???","453.p.6762","Eriksson Ek","Joel","69.1","6.2","$7.5","100%"
"61","6","453.l.82957.t.3","Hockey???","453.p.7736","Georgiev","Alexandar","54.6","5.0","$14.5","100%"
"62","6","453.l.82957.t.11","Jim Posac Fan Club","453.p.6381","Larkin","Dylan","74.3","6.6","$13.0","100%"
"63","6","453.l.82957.t.12","Woonsocket Woozles","453.p.6758","Barzal","Mathew","81.6","7.3","$10.5","100%"
"64","6","453.l.82957.t.4","Bad habits","453.p.5367","Zibanejad","Mika","60.9","5.5","$12.5","100%"
"65","6","453.l.82957.t.7","Fighting Forsbergs","453.p.7593","Skinner","Stuart","48.4","4.5","$23.0","100%"
"66","6","453.l.82957.t.9","Bardowny Woodpeckers","453.p.4681","Tavares","John","98.6","8.7","$7.0","100%"
"67","6","453.l.82957.t.1","Bad Hab-Its","453.p.7147","DeBrincat","Alex","85.4","7.6","$10.5","100%"
"68","6","453.l.82957.t.5","Micah's Majestic Team","453.p.6766","Konecny","Travis","70.9","6.4","$14.5","100%"
"69","6","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7525","Tippett","Owen","77.1","6.9","$9.5","100%"
"70","6","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6377","Fiala","Kevin","85.8","7.6","$8.5","100%"
"71","6","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.4947","Markstrom","Jacob","55.4","5.1","$20.0","100%"
"72","6","453.l.82957.t.6","Cameron with the good fur","453.p.7569","Luukkonen","Ukko-Pekka","90.9","8.0","$12.0","100%"
"73","7","453.l.82957.t.6","Cameron with the good fur","453.p.8652","Lundell","Anton","","","",""
"74","7","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.8653","Jarvis","Seth","73.8","6.6","$9.0","100%"
"75","7","453.l.82957.t.8","Los Luchadores del Hielo","453.p.5712","Marchessault","Jonathan","81.8","7.3","$7.0","100%"
"76","7","453.l.82957.t.2","San Jose Barra-Cuties","453.p.7117","Sergachev","Mikhail","86.4","7.7","$7.0","100%"
"77","7","453.l.82957.t.5","Micah's Majestic Team","453.p.5370","Hamilton","Dougie","63.8","5.8","$17.0","100%"
"78","7","453.l.82957.t.1","Bad Hab-Its","453.p.8284","Seider","Moritz","78.6","7.1","$8.5","100%"
"79","7","453.l.82957.t.9","Bardowny Woodpeckers","453.p.7900","Svechnikov","Andrei","47.0","4.4","$18.0","100%"
"80","7","453.l.82957.t.7","Fighting Forsbergs","453.p.6791","Hintz","Roope","95.6","8.4","$7.5","100%"
"81","7","453.l.82957.t.4","Bad habits","453.p.5362","Nugent-Hopkins","Ryan","75.2","6.7","$10.0","100%"
"82","7","453.l.82957.t.12","Woonsocket Woozles","453.p.6447","Sorokin","Ilya","59.0","5.4","$13.0","100%"
"83","7","453.l.82957.t.11","Jim Posac Fan Club","453.p.6405","Demko","Thatcher","67.9","6.1","$10.0","100%"
"84","7","453.l.82957.t.3","Hockey???","453.p.7528","Suzuki","Nick","114.4","10.0","$4.5","100%"
"85","8","453.l.82957.t.3","Hockey???","453.p.7122","McAvoy","Charlie","64.2","5.9","$16.0","100%"
"86","8","453.l.82957.t.11","Jim Posac Fan Club","453.p.7115","Keller","Clayton","70.6","6.4","$15.0","100%"
"87","8","453.l.82957.t.12","Woonsocket Woozles","453.p.5441","Coleman","Blake","152.9","13.2","$1.0","80%"
"88","8","453.l.82957.t.4","Bad habits","453.p.7170","Woll","Joseph","94.4","8.3","$9.5","100%"
"89","8","453.l.82957.t.7","Fighting Forsbergs","453.p.7264","Hagel","Brandon","104.6","9.2","$1.5","100%"
"90","8","453.l.82957.t.9","Bardowny Woodpeckers","453.p.8641","Lafreniere","Alexis","100.1","8.8","$5.5","100%"
"91","8","453.l.82957.t.1","Bad Hab-Its","453.p.6480","Arvidsson","Viktor","167.1","14.3","$0.0","58%"
"92","8","453.l.82957.t.5","Micah's Majestic Team","453.p.5161","Andersen","Frederik","88.0","7.8","$6.5","100%"
"93","8","453.l.82957.t.2","San Jose Barra-Cuties","453.p.6494","Forsling","Gustav","99.4","8.8","$7.5","100%"
"94","8","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6818","Hill","Adin","91.3","8.1","$8.0","100%"
"95","8","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.8296","Harley","Thomas","120.2","10.5","$2.5","100%"
"96","8","453.l.82957.t.6","Cameron with the good fur","453.p.7110","Laine","Patrik","171.4","14.8","$1.0","43%"
"97","9","453.l.82957.t.6","Cameron with the good fur","453.p.5698","Teravainen","Teuvo","170.8","14.8","$1.0","26%"
"98","9","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","453.p.6375","Ehlers","Nikolaj","126.5","11.0","$2.5","99%"
"99","9","453.l.82957.t.8","Los Luchadores del Hielo","453.p.6476","Toews","Devon","97.4","8.6","$5.5","100%"
