"Week","Team 1 ID","Team 1 Name","Team 2 ID","Team 2 Name","Complete","Playoff","Consolation","Team 1 Points","Team 2 Points"
"1","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.12","Woonsocket Woozles","True","False","False","274.70","201.20"
"1","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.3","Hockey???","True","False","False","272.80","178.40"
"1","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.7","Fighting Forsbergs","True","False","False","256.90","331.60"
"1","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","214.50","409.10"
"1","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","176.70","182.00"
"1","453.l.82957.t.9","Bardowny Woodpeckers","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","248.90","259.40"
"2","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.3","Hockey???","True","False","False","279.10","158.60"
"2","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.5","Micah's Majestic Team","True","False","False","399.00","250.40"
"2","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","302.70","258.90"
"2","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","312.40","420.90"
"2","453.l.82957.t.7","Fighting Forsbergs","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","391.70","201.10"
"2","453.l.82957.t.9","Bardowny Woodpeckers","453.l.82957.t.12","Woonsocket Woozles","True","False","False","233.00","273.10"
"3","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.5","Micah's Majestic Team","True","False","False","347.70","296.10"
"3","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","308.20","289.90"
"3","453.l.82957.t.3","Hockey???","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","295.40","269.60"
"3","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","346.20","267.60"
"3","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.12","Woonsocket Woozles","True","False","False","259.20","283.80"
"3","453.l.82957.t.7","Fighting Forsbergs","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","305.70","213.60"
"4","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","398.40","277.10"
"4","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.7","Fighting Forsbergs","True","False","False","321.30","341.50"
"4","453.l.82957.t.3","Hockey???","453.l.82957.t.6","Cameron with the good fur","True","False","False","293.70","227.80"
"4","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.12","Woonsocket Woozles","True","False","False","391.30","344.80"
"4","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","287.20","316.10"
"4","453.l.82957.t.8","Los Luchadores del Hielo","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","283.20","373.50"
"5","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.2","San Jose Barra-Cuties","True","False","False","276.90","319.80"
"5","453.l.82957.t.3","Hockey???","453.l.82957.t.4","Chiliwack Chunderhounds","True","False","False","192.60","360.00"
"5","453.l.82957.t.5","Micah's Majestic Team","453.l.82957.t.6","Cameron with the good fur","True","False","False","226.10","262.80"
"5","453.l.82957.t.7","Fighting Forsbergs","453.l.82957.t.10","Don't Cry I Was Olli Jokinen","True","False","False","225.60","354.80"
"5","453.l.82957.t.8","Los Luchadores del Hielo","453.l.82957.t.12","Woonsocket Woozles","True","False","False","316.30","343.70"
"5","453.l.82957.t.9","Bardowny Woodpeckers","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","188.70","290.00"
"6","453.l.82957.t.1","Bad Hab-Its","453.l.82957.t.7","Fighting Forsbergs","True","False","False","377.30","305.20"
"6","453.l.82957.t.2","San Jose Barra-Cuties","453.l.82957.t.9","Bardowny Woodpeckers","True","False","False","290.00","253.70"
"6","453.l.82957.t.3","Hockey???","453.l.82957.t.8","Los Luchadores del Hielo","True","False","False","249.70","207.80"
"6","453.l.82957.t.4","Chiliwack Chunderhounds","453.l.82957.t.5","Micah's Majestic Team","True","False","False","304.20","177.60"
"6","453.l.82957.t.6","Cameron with the good fur","453.l.82957.t.11","Jim Posac Fan Club","True","False","False","299.20","335.70"
