"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","G (P)","A (P)","+/- (P)","PPP (P)","SOG (P)","BLK (P)","W (G)","GA (G)","SV (G)","SHO (G)","Image"
"453.p.5820","1","Hellebuyck","Connor","WPG","Available","","G","24.1","2.5","$30.5","100%","","","","","","","17","47","583","3","https://s.yimg.com/iu/api/res/1.2/YiuTe.6j1Wdxsb22vljmOw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10172024/5820.png"
"453.p.6877","2","Kaprizov","Kirill","MIN","Available","","LW","14.0","1.7","$38.0","100%","17","25","18","10","87","11","","","","","https://s.yimg.com/iu/api/res/1.2/6Cp1MZeL43SObHJIIj1qRQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6877.png"
"453.p.7902","3","Tkachuk","Brady","OTT","Available","","C,LW","11.4","1.3","$47.0","100%","13","16","0","11","111","18","","","","","https://s.yimg.com/iu/api/res/1.2/hXKFAoykaTVb2ydGvnnUYQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/7902.png"
"453.p.7163","4","Gustavsson","Filip","MIN","Available","","G","145.5","12.6","$5.5","89%","","","","","","","13","40","539","2","https://s.yimg.com/iu/api/res/1.2/YUOTRR4x2XmTO9pE8lzoWA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/7163.png"
"453.p.7527","5","Necas","Martin","CAR","Available","","C,RW","123.9","10.8","$3.0","100%","14","28","5","19","67","9","","","","","https://s.yimg.com/iu/api/res/1.2/1lhSjIcJZ9LaMzW.0wy9Eg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10022024/7527.png"
"453.p.8279","6","Hughes","Jack","NJ","Available","","C,LW","14.3","1.7","$41.0","100%","11","24","9","17","100","14","","","","","https://s.yimg.com/iu/api/res/1.2/mHI..TdFk0eouZyxyfU0Gw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/8279.png"
"453.p.5980","7","MacKinnon","Nathan","COL","Available","","C","2.4","1.0","$65.0","100%","9","32","0","14","110","23","","","","","https://s.yimg.com/iu/api/res/1.2/OPpXx0IgV7iUZkfplmxirQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/11072023/5980.png"
"453.p.6368","8","Reinhart","Sam","FLA","Available","","C,RW","27.1","2.7","$23.0","100%","19","19","9","12","76","22","","","","","https://s.yimg.com/iu/api/res/1.2/3VnrjirJZN.1OkwA6UMrDg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10022024/6368.png"
"453.p.7267","9","Bratt","Jesper","NJ","Available","","LW,RW","55.8","5.2","$17.0","100%","13","24","6","17","75","17","","","","","https://s.yimg.com/iu/api/res/1.2/9AmcWy5HD5gYuRIG_kkMqw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10152024/7267.png"
"453.p.6744","10","Eichel","Jack","VGK","Available","","C","36.8","3.5","$19.5","100%","9","30","12","12","80","20","","","","","https://s.yimg.com/iu/api/res/1.2/m910M5bZsZ0Ng7HqX1Jmeg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nhl_cutout/players_l/10162024/6744.png"
